id,target_error,stage,passage,question,options,answer,data_origin,review_status,blind_answer,blind_target_error,blind_revealed_at,targets_primary_error,original_content,unique_answer,answer_correct,difficulty_appropriate,no_answer_leak,reviewer_notes,reviewer_id,reviewer_role,qualification_attested,review_protocol_version,reviewed_at
"location_immediate_01","location","immediate","The city introduced electric buses in 2021. Passenger complaints fell after new route maps were installed in 2023.","Which sentence is the best evidence that clearer information improved the passenger experience?","[""The city introduced electric buses in 2021."",""Passenger complaints fell after new route maps were installed in 2023.""]","Passenger complaints fell after new route maps were installed in 2023.","original_project_content","pending","","","","","","","","","","","","","false","",""
"location_transfer_01","location","transfer","Some desert plants store water in thick leaves. Their roots spread close to the surface, enabling them to absorb brief rainfall quickly.","Which sentence best explains how the plants collect water from short rain showers?","[""Some desert plants store water in thick leaves."",""Their roots spread close to the surface, enabling them to absorb brief rainfall quickly.""]","Their roots spread close to the surface, enabling them to absorb brief rainfall quickly.","original_project_content","pending","","","","","","","","","","","","","false","",""
"paraphrase_immediate_01","paraphrase","immediate","The gallery removed the entry fee for visitors under eighteen.","Which statement matches the passage?","[""Young visitors could enter without payment."",""All visitors received a discounted ticket.""]","Young visitors could enter without payment.","original_project_content","pending","","","","","","","","","","","","","false","",""
"paraphrase_transfer_01","paraphrase","transfer","The device consumes considerably less electricity than the previous model.","Which statement matches the passage?","[""The new device is much more energy-efficient."",""The new device stores more electricity.""]","The new device is much more energy-efficient.","original_project_content","pending","","","","","","","","","","","","","false","",""
"sentence_immediate_01","sentence_comprehension","immediate","Although the seeds survived the cold, they did not begin to grow until temperatures rose.","Which statement is correct?","[""The seeds grew during the cold period."",""The seeds remained alive but started growing later.""]","The seeds remained alive but started growing later.","original_project_content","pending","","","","","","","","","","","","","false","",""
"sentence_transfer_01","sentence_comprehension","transfer","The medication reduced the frequency of headaches, but not their intensity.","Which statement is correct?","[""Headaches happened less often but were not less severe."",""The medication made every headache less painful.""]","Headaches happened less often but were not less severe.","original_project_content","pending","","","","","","","","","","","","","false","",""
"strategy_immediate_01","question_strategy","immediate","The report states that the eastern bridge opens in April. It provides no opening date for the western bridge.","The western bridge will open in May.","[""TRUE"",""FALSE"",""NOT GIVEN""]","NOT GIVEN","original_project_content","pending","","","","","","","","","","","","","false","",""
"strategy_transfer_01","question_strategy","transfer","The study measured adults aged 20 to 45. No participants over 45 were included.","Adults over 45 received worse results.","[""TRUE"",""FALSE"",""NOT GIVEN""]","NOT GIVEN","original_project_content","pending","","","","","","","","","","","","","false","",""
"inference_immediate_01","over_inference","immediate","A school placed more recycling bins in its corridors in September.","Which conclusion is supported by the passage?","[""The school added recycling bins."",""Students recycled more waste after September.""]","The school added recycling bins.","original_project_content","pending","","","","","","","","","","","","","false","",""
"inference_transfer_01","over_inference","transfer","Researchers found that people who walked more frequently also reported higher wellbeing.","Which conclusion stays within the evidence?","[""Frequent walking was associated with higher reported wellbeing."",""Frequent walking caused every participant to become happier.""]","Frequent walking was associated with higher reported wellbeing.","original_project_content","pending","","","","","","","","","","","","","false","",""
