id,passage,question_type,question,correct_answer,user_answer,standard_evidence,user_evidence,reasoning_process,review_status,reviewer_label,reviewer_failed_step,reviewer_notes,reviewer_id,reviewer_role,qualification_attested,independence_attested,review_track,review_protocol_version,reviewed_at
"review_location_01","The wetland attracts migrating birds in spring. Water levels are controlled by a gate installed beside the southern bridge.","TRUE_FALSE_NOT_GIVEN","A gate regulates the amount of water in the wetland.","TRUE","NOT GIVEN","Water levels are controlled by a gate installed beside the southern bridge.","The wetland attracts migrating birds in spring.","I selected the first sentence because it describes the wetland.","pending","","","","","","false","","","",""
"review_location_02","The original theatre seated 400 people. After the 2018 renovation, a new ventilation system reduced energy use by a quarter.","TRUE_FALSE_NOT_GIVEN","The renovation made the theatre more energy-efficient.","TRUE","FALSE","After the 2018 renovation, a new ventilation system reduced energy use by a quarter.","The original theatre seated 400 people.","I used the sentence about the original theatre because it appeared first.","pending","","","","","","false","","","",""
"review_location_03","Farmers initially planted the trees as windbreaks. The fruit later became valuable when a local company began producing juice.","TRUE_FALSE_NOT_GIVEN","Juice production increased the economic value of the fruit.","TRUE","NOT GIVEN","The fruit later became valuable when a local company began producing juice.","Farmers initially planted the trees as windbreaks.","I chose the planting sentence because it mentions the trees and farmers.","pending","","","","","","false","","","",""
"review_location_04","The first survey recorded commuting distance. A follow-up survey examined whether flexible working affected staff wellbeing.","TRUE_FALSE_NOT_GIVEN","The later survey studied the effect of flexible work on wellbeing.","TRUE","FALSE","A follow-up survey examined whether flexible working affected staff wellbeing.","The first survey recorded commuting distance.","I thought the question was asking about what the first survey measured.","pending","","","","","","false","","","",""
"review_location_05","Young seals rest on the northern beach at low tide. They hunt for fish in deeper water several kilometres offshore.","TRUE_FALSE_NOT_GIVEN","Young seals obtain food several kilometres from the beach.","TRUE","NOT GIVEN","They hunt for fish in deeper water several kilometres offshore.","Young seals rest on the northern beach at low tide.","I selected the beach sentence because it contains young seals.","pending","","","","","","false","","","",""
"review_location_06","The archive stores letters on its ground floor. Temperature-sensitive photographs are kept in a climate-controlled room upstairs.","TRUE_FALSE_NOT_GIVEN","The photographs are stored under controlled environmental conditions.","TRUE","FALSE","Temperature-sensitive photographs are kept in a climate-controlled room upstairs.","The archive stores letters on its ground floor.","I used the sentence about the archive storage location.","pending","","","","","","false","","","",""
"review_location_07","The app first offered bus timetables. Real-time delay alerts were added after users requested more reliable journey information.","TRUE_FALSE_NOT_GIVEN","User feedback led to the addition of live delay information.","TRUE","NOT GIVEN","Real-time delay alerts were added after users requested more reliable journey information.","The app first offered bus timetables.","I picked the sentence that introduced the app rather than the reason for the update.","pending","","","","","","false","","","",""
"review_location_08","The upper trail provides wide views of the valley. Most accidents occur on the lower trail where loose stones make the descent difficult.","TRUE_FALSE_NOT_GIVEN","Loose stones contribute to accidents on the lower trail.","TRUE","FALSE","Most accidents occur on the lower trail where loose stones make the descent difficult.","The upper trail provides wide views of the valley.","I located the trail topic but selected the sentence about the upper trail.","pending","","","","","","false","","","",""
"review_paraphrase_01","The council prohibited private cars from entering the square between noon and six.","TRUE_FALSE_NOT_GIVEN","Cars were banned from the square for part of the day.","TRUE","NOT GIVEN","The council prohibited private cars from entering the square between noon and six.","The council prohibited private cars from entering the square between noon and six.","The passage does not use the exact word banned, so I chose Not Given.","pending","","","","","","false","","","",""
"review_paraphrase_02","The software update considerably shortened the time needed to process each request.","TRUE_FALSE_NOT_GIVEN","Requests were handled much faster after the update.","TRUE","NOT GIVEN","The software update considerably shortened the time needed to process each request.","The software update considerably shortened the time needed to process each request.","I could not find the same words handled faster in the passage.","pending","","","","","","false","","","",""
"review_paraphrase_03","Tickets are complimentary for children below the age of twelve.","TRUE_FALSE_NOT_GIVEN","Children under twelve do not have to pay for admission.","TRUE","NOT GIVEN","Tickets are complimentary for children below the age of twelve.","Tickets are complimentary for children below the age of twelve.","I did not know complimentary could mean free and looked for pay.","pending","","","","","","false","","","",""
"review_paraphrase_04","Rainfall was scarce throughout the growing season.","TRUE_FALSE_NOT_GIVEN","The crops received very little rain while they were developing.","TRUE","NOT GIVEN","Rainfall was scarce throughout the growing season.","Rainfall was scarce throughout the growing season.","The question uses very little, but the passage uses a different word.","pending","","","","","","false","","","",""
"review_paraphrase_05","The new material is resistant to damage from prolonged exposure to sunlight.","TRUE_FALSE_NOT_GIVEN","Long periods in the sun are unlikely to harm the material.","TRUE","FALSE","The new material is resistant to damage from prolonged exposure to sunlight.","The new material is resistant to damage from prolonged exposure to sunlight.","I thought resistant to damage was different from unlikely to harm.","pending","","","","","","false","","","",""
"review_paraphrase_06","Attendance declined substantially once the entrance charge was introduced.","TRUE_FALSE_NOT_GIVEN","Charging visitors led to a large fall in attendance.","TRUE","NOT GIVEN","Attendance declined substantially once the entrance charge was introduced.","Attendance declined substantially once the entrance charge was introduced.","I searched for large fall and charging visitors as exact words.","pending","","","","","","false","","","",""
"review_paraphrase_07","The species is predominantly active after sunset.","TRUE_FALSE_NOT_GIVEN","The species is mainly active at night.","TRUE","NOT GIVEN","The species is predominantly active after sunset.","The species is predominantly active after sunset.","I could not see the exact words mainly or at night.","pending","","","","","","false","","","",""
"review_paraphrase_08","Employees may work remotely on two days of their choice each week.","TRUE_FALSE_NOT_GIVEN","Staff can choose to work away from the office twice a week.","TRUE","FALSE","Employees may work remotely on two days of their choice each week.","Employees may work remotely on two days of their choice each week.","Remote and away from the office looked like different ideas to me.","pending","","","","","","false","","","",""
"review_sentence_01","The insulation reduced heat loss but did not lower the building’s summer temperature.","TRUE_FALSE_NOT_GIVEN","The insulation made the building cooler in summer.","FALSE","TRUE","did not lower the building’s summer temperature.","did not lower the building’s summer temperature.","I missed the word not and understood lower as making it cooler.","pending","","","","","","false","","","",""
"review_sentence_02","Only those samples collected before noon were stored in the blue containers.","TRUE_FALSE_NOT_GIVEN","Every sample was stored in a blue container.","FALSE","TRUE","Only those samples collected before noon were stored in the blue containers.","Only those samples collected before noon were stored in the blue containers.","I did not notice that only limits which samples were stored there.","pending","","","","","","false","","","",""
"review_sentence_03","While the eastern population grew, the western population remained stable.","TRUE_FALSE_NOT_GIVEN","Both populations increased.","FALSE","TRUE","While the eastern population grew, the western population remained stable.","While the eastern population grew, the western population remained stable.","I thought while connected two things that changed in the same way.","pending","","","","","","false","","","",""
"review_sentence_04","The smaller battery lasted longer than the standard model, though it took twice as long to charge.","TRUE_FALSE_NOT_GIVEN","The smaller battery charged more quickly than the standard model.","FALSE","TRUE","it took twice as long to charge.","it took twice as long to charge.","I understood twice as long as twice as fast.","pending","","","","","","false","","","",""
"review_sentence_05","The committee rejected the proposal that the residents had submitted in May.","TRUE_FALSE_NOT_GIVEN","The residents rejected the proposal.","FALSE","TRUE","The committee rejected the proposal that the residents had submitted in May.","The committee rejected the proposal that the residents had submitted in May.","I thought residents was the subject of rejected rather than submitted.","pending","","","","","","false","","","",""
"review_sentence_06","Few participants who skipped the training completed the final task successfully.","TRUE_FALSE_NOT_GIVEN","Most untrained participants completed the final task.","FALSE","TRUE","Few participants who skipped the training completed the final task successfully.","Few participants who skipped the training completed the final task successfully.","I read few as a few and thought it described a successful majority.","pending","","","","","","false","","","",""
"review_sentence_07","The decline was less severe in coastal towns than in inland areas.","TRUE_FALSE_NOT_GIVEN","Coastal towns experienced the larger decline.","FALSE","TRUE","The decline was less severe in coastal towns than in inland areas.","The decline was less severe in coastal towns than in inland areas.","I reversed the two sides of the comparison.","pending","","","","","","false","","","",""
"review_sentence_08","Unless the soil remains moist, the seeds will not germinate.","TRUE_FALSE_NOT_GIVEN","The seeds require moist soil in order to germinate.","TRUE","FALSE","Unless the soil remains moist, the seeds will not germinate.","Unless the soil remains moist, the seeds will not germinate.","I thought unless meant the seeds would grow when the soil was dry.","pending","","","","","","false","","","",""
"review_strategy_01","The article describes the northern forest. It contains no information about the southern forest.","TRUE_FALSE_NOT_GIVEN","The southern forest contains fewer tree species.","NOT GIVEN","FALSE","It contains no information about the southern forest.","It contains no information about the southern forest.","I used the rule that a statement absent from the text must be False.","pending","","","","","","false","","","",""
"review_strategy_02","The experiment included 30 adults. The researchers did not record the participants’ occupations.","TRUE_FALSE_NOT_GIVEN","Most participants worked in offices.","NOT GIVEN","FALSE","The researchers did not record the participants’ occupations.","The researchers did not record the participants’ occupations.","I thought False means the passage has no support for the statement.","pending","","","","","","false","","","",""
"review_strategy_03","Some visitors arrived by train. The travel methods of the other visitors were not reported.","TRUE_FALSE_NOT_GIVEN","All visitors arrived by train.","NOT GIVEN","FALSE","The travel methods of the other visitors were not reported.","The travel methods of the other visitors were not reported.","Because the text says some rather than all, I automatically selected False.","pending","","","","","","false","","","",""
"review_strategy_04","The author argues that the policy may reduce traffic if public transport also improves.","TRUE_FALSE_NOT_GIVEN","The author believes the policy will definitely reduce traffic.","FALSE","NOT GIVEN","The author argues that the policy may reduce traffic if public transport also improves.","The author argues that the policy may reduce traffic if public transport also improves.","I selected Not Given whenever the wording was not exactly identical.","pending","","","","","","false","","","",""
